queryId,hotel_id,price,stock
2993,630,150,16
2993,603,259,39
2993,429,243,50
2993,158,148,26
2993,12,76,8
2993,352,97,42
2993,679,147,20
2993,706,123,13
2993,86,109,8
2993,807,277,37
2993,83,171,20
2993,269,148,17
2993,430,154,59
2993,172,128,16
2993,303,207,27
2993,625,184,36
2993,567,89,7
2993,417,161,22
2993,880,126,15
2993,230,111,17
2993,517,112,26
2993,585,73,21
2993,146,170,35
2993,256,76,8
2993,271,79,1
2993,218,200,26
2993,515,292,34
2993,283,99,19
2993,778,106,1
2993,82,106,20
2993,680,147,9
2993,16,173,14
2993,45,171,20
2993,594,226,76
2993,548,223,63
2993,10,148,21
2993,9,82,10
2993,105,158,20
2993,163,170,41
2993,916,105,23
2993,493,171,18
2993,157,289,38
2993,743,162,26
2993,307,105,17
2993,628,147,36
2993,507,123,16
2993,475,103,20
2993,34,76,9
2993,921,89,20
2993,806,261,50
2993,627,103,0
2993,752,258,42
2993,482,78,5
2993,867,138,21
2993,77,248,42
2993,960,261,41
2993,657,157,34
2993,211,144,14
2993,117,73,12
2993,918,289,42
2993,193,144,21
2993,85,110,15
2993,196,107,3
2993,892,205,20
2993,373,110,18
2993,925,108,15
2993,945,144,27
2993,234,158,20
2993,570,105,17
2993,212,209,25
2993,933,147,18
2993,214,187,27
2993,809,257,44
2993,788,106,8
2993,783,97,5
2993,101,286,32
2993,891,110,8
2993,111,129,12
2993,253,249,50
2993,588,169,0
2993,760,187,26
2993,450,167,56
2993,587,148,12
2993,387,243,41
2993,969,75,15
2993,967,76,28
2993,88,128,15
2993,264,77,5
2993,442,157,34
2993,460,81,0
2993,369,73,0
2993,326,249,47
2993,685,269,37
2993,971,154,20
2993,779,182,38
2993,777,150,22
2993,660,168,19
2993,366,76,11
2993,166,116,20
2993,750,110,11
2993,311,100,25
2993,917,270,44
2993,902,168,38
2993,581,145,15
2993,835,100,44
2993,346,176,34
2993,674,117,23
2993,557,109,0
2993,103,176,48
2993,375,103,17
2993,505,104,17
2993,745,101,18
2993,878,106,28
2993,52,152,20
2993,465,239,49
2993,223,147,8
2993,821,105,20
2993,762,170,20
2993,510,251,56
2993,676,79,8
2993,724,268,37
2993,604,112,15
2993,224,139,37
2993,317,177,29
2994,875,114,3
2994,343,86,11
2994,977,121,26
2994,692,272,20
2994,530,107,8
2994,693,271,39
2994,704,116,0
2994,928,89,3
2994,730,175,38
2994,661,133,10
2994,662,243,13
2994,666,87,9
2994,382,156,18
2994,210,106,18
2994,801,222,15
2994,250,335,19
2994,226,115,0
2994,924,184,15
2994,920,111,0
2994,549,114,3
2994,275,134,0
2994,263,135,10
2994,8,132,10
2994,755,85,0
2994,535,156,0
2994,171,92,11
2994,635,131,10
2994,219,206,16
2994,278,119,0
2994,753,156,28
2994,168,333,21
2994,87,216,19
2994,33,182,12
2994,524,255,14
2994,152,192,22
2994,713,236,13
2994,220,94,12
2994,255,206,21
2994,245,146,10
2994,979,187,15
2994,70,190,25
2994,846,234,12
2994,446,115,0
2994,266,84,3
2994,682,153,0
2994,236,85,6
2994,919,81,2
2994,195,154,0
2994,184,335,22
2994,403,326,22
2994,336,136,7
2994,565,318,33
2994,962,153,2
2994,775,84,0
2994,268,134,11
2994,63,154,34
2994,173,118,0
2994,610,80,14
2994,428,107,28
2994,292,224,19
2994,438,116,0
2994,833,156,0
2994,37,198,22
2994,877,87,0
2994,699,136,10
2994,315,272,36
2994,511,162,38
2994,179,119,5
2994,626,137,9
2994,457,157,0
2994,675,108,15
2994,848,198,23
2994,231,159,0
2994,68,184,15
2994,57,160,0
2994,15,272,28
2994,354,98,11
2994,128,266,13
2994,368,81,0
2994,167,85,0
2994,64,87,0
2994,927,229,15
2994,239,357,22
2994,456,189,14
2994,940,185,10
2994,784,116,0
2994,996,133,12
2994,839,184,39
2994,931,226,15
2994,98,160,16
2994,613,236,14
2994,810,110,12
2994,11,187,24
2994,462,86,0
2994,646,114,19
2994,26,199,17
2994,116,134,6
2994,35,89,5
2995,871,84,0
2995,304,79,4
2995,637,61,0
2995,608,100,0
2995,862,74,0
2995,107,46,0
2995,683,85,0
2995,44,54,0
2995,590,83,0
2995,145,98,0
2995,141,85,0
2995,542,62,0
2995,181,100,0
2995,852,46,0
2995,649,189,0
2995,109,98,0
2995,262,97,0
2995,337,97,0
2995,554,44,0
2995,272,47,0
2995,984,60,0
2995,802,82,0
2995,270,106,1
2995,201,85,1
2995,899,97,0
2995,287,219,0
2995,601,100,0
2995,883,158,0
2995,383,43,0
2995,472,44,0
2995,578,104,11
2995,815,236,0
2995,190,54,0
2995,544,62,0
2995,597,239,0
2995,25,229,0
2995,968,168,0
2995,665,61,7
2995,574,61,0
2995,302,60,0
2995,13,59,0
2995,353,39,11
2995,4,42,0
2995,814,227,0
2995,137,44,0
2995,416,99,0
2995,208,62,0
2995,203,116,0
2995,764,63,0
2995,923,53,0
2995,553,96,0
2995,143,79,0
