index,price
0,166.6
1,178.41
2,178.34583333333336
3,115.78416666666668
4,111.87799999999999
5,170.38
6,128.37123809523808
7,173.51
8,188.20583333333335
9,169.11
10,179.024
11,181.10583333333335
12,132.6275
13,112.38600000000001
14,169.946
15,126.61373809523812
16,186.89666666666665
17,182.1
18,212.91
19,164.70466666666667
20,220.42
21,141.3095
22,216.23
23,118.17589743589744
24,162.015
25,117.73
26,131.15833333333333
27,125.59400000000001
28,211.62333333333333
29,162.49
30,220.26
31,143.3745
32,215.93
33,117.00666666666666
34,167.28216666666668
35,117.91666666666666
36,137.4406666666667
37,131.38290476190477
38,125.11305555555556
39,141.65
40,157.74
41,189.725
42,142.83
43,141.92661904761906
44,227.01
45,150.49666666666667
46,125.08055555555556
47,219.15
48,130.67366666666666
49,210.8
50,116.31611904761905
51,168.10216666666668
52,207.22
53,175.72666666666663
54,105.36999999999998
55,168.665
56,162.02
57,201.225
58,165.15690476190477
59,169.64
60,145.99161904761905
61,165.9639047619048
62,128.6042857142857
63,183.93066666666667
64,126.29066666666668
65,121.73666666666668
66,164.04533333333333
67,105.92749999999998
68,174.88
69,164.67
70,193.84
71,157.90957142857144
72,164.39
73,142.79425
74,165.9639047619048
75,128.8592857142857
76,186.82733333333334
77,126.82183333333334
78,133.99
79,164.25533333333334
80,165.0
81,163.4
82,152.36866666666668
83,135.70666666666665
84,201.52
85,118.68000000000002
86,89.6161904761905
87,137.46
88,170.6875
89,132.86666666666667
90,143.66
91,107.7981111111111
92,168.64666666666668
93,171.81
94,195.7
95,170.27083333333331
96,171.87
97,142.67425
98,164.88533333333334
99,131.2475
100,185.66333333333333
101,132.3
102,131.02458333333334
103,165.61690476190478
104,110.25444444444446
105,181.41
106,168.20333333333335
107,192.43
108,169.87150000000003
109,169.25333333333336
110,148.185
111,164.9786666666667
112,128.9958333333333
113,185.82833333333335
114,133.91142857142856
115,145.21
116,151.50457142857144
117,175.23
118,172.29
119,147.86083333333332
120,134.4
121,198.24
122,116.12666666666668
123,92.9561904761905
124,140.995
125,168.15716666666668
126,136.515
127,132.69016666666667
128,210.6
129,190.19
130,163.805
131,171.05666666666664
132,181.61
133,146.94916666666668
134,161.38
135,162.29666666666665
136,176.935
137,138.92916666666667
138,220.18
139,124.93333333333332
140,165.9
141,214.1
142,125.08782142857144
143,160.41666666666666
144,157.81099999999998
145,184.452
146,121.98833333333334
147,165.49716666666666
148,120.44809523809523
149,113.57
150,155.40290476190475
151,220.32
152,167.22716666666668
153,165.07716666666667
154,193.52
155,150.17790476190478
156,112.9606666666667
157,123.4015
158,169.62416666666664
159,127.477
160,185.63
161,150.40833333333333
162,129.068
163,223.84333333333333
164,183.7225
165,194.1
166,149.13890476190477
167,103.45749999999998
168,138.05525
169,152.066
170,121.67590476190475
171,183.36
172,123.26609523809526
173,118.15233333333332
174,216.01
175,183.36
176,139.2522619047619
177,154.82407142857141
178,142.3125
179,163.97985714285716
180,139.59583333333333
181,134.43933333333334
182,219.01249999999996
183,135.18
184,130.15916666666666
185,223.47
186,134.40059523809524
187,139.46492857142857
188,155.42357142857142
189,140.74450000000002
190,172.578
191,131.74699999999999
192,137.38466666666667
193,221.5
194,136.16166666666666
195,136.21559523809523
196,219.72
197,137.9695
198,139.17859523809523
199,150.67466666666667
200,140.5645
201,180.37
202,134.05066666666664
203,139.19966666666664
204,222.93
205,135.93
206,137.42059523809522
207,220.73
208,136.95942857142856
209,124.15705555555556
210,154.32
211,147.55666666666667
212,180.405
213,141.735
214,138.87625
215,216.36
216,150.54666666666668
217,127.50666666666667
218,221.27
219,123.76777777777778
220,150.08
221,136.37
222,155.26
223,147.02661904761905
224,141.08
225,146.40328571428572
226,120.25770695970698
227,122.45500000000001
228,146.345
229,141.08
230,154.162
231,135.47466666666665
232,167.1422380952381
233,161.65
234,165.34690476190477
235,209.57
236,151.51457142857143
237,163.70957142857142
238,164.485
239,147.63
240,112.78333333333335
241,165.40690476190477
242,161.96
243,160.60957142857143
244,209.46833333333333
245,166.356
246,165.145
247,163.68
248,148.25
249,112.99333333333334
250,154.222
251,160.96057142857143
252,164.62716666666668
253,146.39600000000002
254,168.955
255,181.58
256,178.50483333333332
257,121.65916666666668
258,113.79299999999999
259,170.0
260,130.97
261,177.98
262,187.00666666666663
263,169.11
264,179.024
265,181.10583333333335
