queryId,hotel_id,price,stock
2153,806,282,50
2153,85,119,15
2153,750,119,11
2153,587,160,12
2153,971,167,20
2153,878,115,28
2153,303,224,27
2153,570,114,17
2153,271,86,1
2153,517,121,26
2153,835,108,44
2153,9,89,10
2153,264,84,5
2153,317,192,29
2153,16,187,14
2153,223,159,8
2153,214,202,27
2153,157,313,38
2153,234,171,20
2153,12,83,8
2153,77,268,42
2153,326,269,47
2153,918,313,42
2153,821,114,20
2153,83,185,20
2153,230,120,17
2153,88,138,15
2153,505,112,17
2153,680,159,9
2153,158,160,26
2153,685,291,37
2153,809,278,44
2153,515,316,34
2153,933,159,18
2153,921,97,20
2153,283,107,19
2153,375,111,17
2153,430,167,59
2153,917,292,44
2153,743,175,26
2153,604,121,15
2153,253,269,50
2153,745,109,18
2153,34,83,9
2153,111,140,12
2153,82,115,20
2153,475,111,20
2153,450,181,56
2153,724,290,37
2153,674,127,23
2153,166,126,20
2153,366,83,11
2153,52,164,20
2153,660,182,19
2153,507,133,16
2153,465,259,49
2153,193,156,21
2153,429,263,50
2153,86,118,8
2153,960,282,41
2153,103,190,48
2153,224,150,37
2153,10,160,21
2153,777,162,22
2153,346,190,34
2153,369,80,0
2153,779,197,38
2153,211,156,14
2153,387,263,41
2153,581,157,15
2153,352,105,42
2153,778,115,1
2153,163,184,41
2153,101,309,32
2153,311,108,25
2153,880,136,15
2153,417,174,22
2153,945,156,27
2153,676,86,8
2153,567,97,7
2153,783,105,5
2153,967,83,28
2153,625,199,36
2153,307,114,17
2153,146,184,35
2153,493,185,18
2153,902,182,38
2153,482,84,5
2153,630,162,16
2153,752,279,42
2153,373,119,18
2153,510,272,56
2153,256,82,8
2153,212,226,25
2153,916,114,23
2153,585,79,21
2153,218,216,26
2153,807,300,37
2153,172,138,16
2153,594,245,76
2153,603,280,39
2153,788,115,8
2153,891,119,8
2153,657,170,34
2153,196,116,3
2153,762,184,20
2153,627,111,0
2153,105,171,20
2153,548,241,63
2153,557,118,0
2153,269,160,17
2153,925,117,15
2153,460,88,0
2153,892,222,20
2153,442,170,34
2153,45,185,20
2153,628,159,36
2153,117,79,12
2153,760,202,26
2153,679,159,20
2153,706,133,13
2153,867,150,21
2153,969,81,15
2153,588,184,0
